kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
duration,core,larger,409,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,2,frozen,3,1.0,0,0.1111111111111111,1.0,1.0,9,0,0,6,0
duration,core,larger,410,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,2,frozen,3,12.0,1,1.3333333333333335,12.0,12.0,9,2,0,6,1
duration,core,larger,411,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,2,frozen,3,3.0,0,0.33333333333333326,3.0,3.0,9,0,0,4,0
duration,core,larger,408,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,2,frozen,3,7.0,1,0.7777777777777777,7.0,7.0,9,0,0,6,0
duration,core,larger,409,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,2,frozen,3,10.0,1,1.1111111111111112,10.0,10.0,9,0,0,6,0
duration,core,larger,410,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,2,frozen,3,8.0,0,0.8888888888888888,8.0,8.0,9,0,0,5,0
duration,core,larger,411,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,2,frozen,3,3.0,0,0.33333333333333326,3.0,3.0,9,0,0,4,0
duration,core,larger,408,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,2,frozen,6,27.0,3,1.5,27.0,27.0,18,2,2,10,0
duration,core,larger,409,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,2,frozen,6,24.0,3,1.3333333333333335,24.0,24.0,18,1,1,11,0
duration,core,larger,410,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,2,frozen,6,13.0,2,0.7222222222222222,13.0,13.0,18,1,0,7,0
duration,core,larger,411,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,2,frozen,6,23.0,2,1.2777777777777777,23.0,23.0,18,0,2,11,0
duration,core,larger,408,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,2,frozen,6,28.0,4,1.5555555555555554,28.0,28.0,18,2,2,10,0
duration,core,larger,409,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,2,frozen,6,20.0,4,1.1111111111111112,20.0,20.0,18,0,0,11,0
duration,core,larger,410,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,2,frozen,6,24.0,3,1.3333333333333335,24.0,24.0,18,0,0,10,0
duration,core,larger,411,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,2,frozen,6,12.0,2,0.6666666666666665,12.0,12.0,18,0,1,12,0
duration,core,larger,408,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,2,frozen,6,15.0,2,0.8333333333333333,15.0,15.0,18,0,0,7,0
