bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
stage6_05,2,complexity_time,2,edf,False,train:341,train:341
stage6_06,0,reference,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,reference,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,0,reference,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,reference,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,0,approve_block,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,approve_block,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,0,approve_block,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,approve_block,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,0,complexity_time,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,complexity_time,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,0,complexity_time,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,0,complexity_time,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,reference,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,reference,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,reference,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,reference,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,approve_block,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,approve_block,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,approve_block,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,approve_block,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,complexity_time,2,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,complexity_time,2,edf,False,train:356;train:177,train:356;train:177
stage6_06,1,complexity_time,1,greedy,False,train:356;train:177,train:356;train:177
stage6_06,1,complexity_time,1,edf,False,train:356;train:177,train:356;train:177
stage6_06,2,reference,2,greedy,True,train:356;train:177,train:466;train:177
stage6_06,2,reference,2,edf,True,train:356;train:177,train:356;train:466
stage6_06,2,reference,1,greedy,True,train:466;train:356;train:177,train:466;train:177
stage6_06,2,reference,1,edf,True,train:466;train:356;train:177,train:356;train:466;train:177
stage6_06,2,approve_block,2,greedy,True,train:356;train:177,train:466;train:177
stage6_06,2,approve_block,2,edf,True,train:356;train:177,train:356;train:466
stage6_06,2,approve_block,1,greedy,True,train:466;train:356;train:177,train:466;train:177
stage6_06,2,approve_block,1,edf,True,train:466;train:356;train:177,train:356;train:466;train:177
stage6_06,2,complexity_time,2,greedy,True,train:356;train:177,train:466;train:177
stage6_06,2,complexity_time,2,edf,True,train:356;train:177,train:356;train:466
stage6_06,2,complexity_time,1,greedy,True,train:356;train:466;train:177,train:466;train:177
stage6_06,2,complexity_time,1,edf,False,train:356;train:466;train:177,train:356;train:466;train:177
stage6_07,0,reference,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,0,reference,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,0,reference,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,0,reference,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,0,approve_block,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,0,approve_block,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,0,approve_block,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,0,approve_block,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,0,complexity_time,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,0,complexity_time,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,0,complexity_time,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,0,complexity_time,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,1,reference,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,1,reference,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,1,reference,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,1,reference,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,1,approve_block,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,1,approve_block,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,1,approve_block,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,1,approve_block,2,edf,False,train:357;train:178,train:357;train:178
stage6_07,1,complexity_time,1,greedy,True,train:357;train:178;train:482,train:178;train:482
stage6_07,1,complexity_time,1,edf,False,train:357;train:178;train:482,train:357;train:178;train:482
stage6_07,1,complexity_time,2,greedy,True,train:357;train:178,train:178;train:482
stage6_07,1,complexity_time,2,edf,False,train:357;train:178,train:357;train:178
