bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_19,0,1,greedy,False,train:093;train:282;train:213,train:093;train:282;train:213,0
evaluation_19,0,1,edf,True,train:093;train:282;train:213,train:282;train:093;train:213,0
evaluation_19,0,2,greedy,True,train:282;train:093,train:093;train:213,0
evaluation_19,0,2,edf,False,train:282;train:093,train:282;train:093,0
evaluation_19,1,1,greedy,False,train:093;train:282;train:213,train:093;train:282;train:213,0
evaluation_19,1,1,edf,True,train:093;train:282;train:213,train:282;train:093;train:213,0
evaluation_19,1,2,greedy,True,train:282;train:093,train:093;train:213,0
evaluation_19,1,2,edf,False,train:282;train:093,train:282;train:093,0
evaluation_19,2,1,greedy,False,train:093;train:282;train:213,train:093;train:282;train:213,0
evaluation_19,2,1,edf,True,train:093;train:282;train:213,train:282;train:093;train:213,0
evaluation_19,2,2,greedy,True,train:282;train:093,train:093;train:213,0
evaluation_19,2,2,edf,False,train:282;train:093,train:282;train:093,0
evaluation_20,0,2,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,0,2,edf,False,train:094;train:227,train:094;train:227,0
evaluation_20,0,1,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,0,1,edf,False,train:094;train:227,train:094;train:227,0
evaluation_20,1,2,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,1,2,edf,False,train:094;train:227,train:094;train:227,0
evaluation_20,1,1,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,1,1,edf,False,train:094;train:227,train:094;train:227,0
evaluation_20,2,2,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,2,2,edf,False,train:094;train:227,train:094;train:227,0
evaluation_20,2,1,greedy,False,train:094;train:227,train:094;train:227,0
evaluation_20,2,1,edf,False,train:094;train:227,train:094;train:227,0
evaluation_21,0,1,greedy,True,train:228;train:295;train:103,train:295;train:103,0
evaluation_21,0,1,edf,False,train:228;train:295;train:103,train:228;train:295;train:103,0
evaluation_21,0,2,greedy,True,train:228;train:103,train:295;train:103,0
evaluation_21,0,2,edf,True,train:228;train:103,train:228;train:295,-12
evaluation_21,1,1,greedy,True,train:228;train:295;train:103,train:295;train:103,0
evaluation_21,1,1,edf,False,train:228;train:295;train:103,train:228;train:295;train:103,0
evaluation_21,1,2,greedy,True,train:228;train:103,train:295;train:103,0
evaluation_21,1,2,edf,True,train:228;train:103,train:228;train:295,-12
evaluation_21,2,1,greedy,True,train:228;train:295;train:103,train:295;train:103,0
evaluation_21,2,1,edf,False,train:228;train:295;train:103,train:228;train:295;train:103,0
evaluation_21,2,2,greedy,True,train:228;train:103,train:295;train:103,0
evaluation_21,2,2,edf,True,train:228;train:103,train:228;train:295,-12
evaluation_22,0,2,greedy,True,train:247;train:104;train:308,train:104;train:308,0
evaluation_22,0,2,edf,False,train:247;train:104;train:308,train:247;train:104;train:308,0
evaluation_22,0,1,greedy,True,train:104;train:247;train:308,train:104;train:308,0
evaluation_22,0,1,edf,True,train:104;train:247;train:308,train:247;train:104;train:308,0
evaluation_22,1,2,greedy,False,train:104;train:308,train:104;train:308,0
evaluation_22,1,2,edf,False,train:104;train:308,train:104;train:308,0
evaluation_22,1,1,greedy,False,train:104;train:308,train:104;train:308,0
evaluation_22,1,1,edf,False,train:104;train:308,train:104;train:308,0
evaluation_22,2,2,greedy,True,train:247;train:104;train:308,train:104;train:308,0
evaluation_22,2,2,edf,False,train:247;train:104;train:308,train:247;train:104;train:308,0
evaluation_22,2,1,greedy,True,train:104;train:247;train:308,train:104;train:308,0
evaluation_22,2,1,edf,True,train:104;train:247;train:308,train:247;train:104;train:308,0
evaluation_23,0,1,greedy,True,train:312;train:251;train:106,train:312;train:106;train:251,0
evaluation_23,0,1,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_23,0,2,greedy,True,train:312;train:251;train:106,train:312;train:106,0
evaluation_23,0,2,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_23,1,1,greedy,True,train:312;train:251;train:106,train:312;train:106;train:251,0
evaluation_23,1,1,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_23,1,2,greedy,True,train:312;train:251;train:106,train:312;train:106,0
evaluation_23,1,2,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_23,2,1,greedy,True,train:312;train:251;train:106,train:312;train:106;train:251,0
evaluation_23,2,1,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_23,2,2,greedy,True,train:312;train:251;train:106,train:312;train:106,0
evaluation_23,2,2,edf,False,train:312;train:251;train:106,train:312;train:251;train:106,0
evaluation_24,0,2,greedy,True,train:316;train:108,train:108;train:258,0
evaluation_24,0,2,edf,False,train:316;train:108,train:316;train:108,0
evaluation_24,0,1,greedy,False,train:108;train:316;train:258,train:108;train:316;train:258,0
evaluation_24,0,1,edf,True,train:108;train:316;train:258,train:316;train:108;train:258,0
evaluation_24,1,2,greedy,True,train:316;train:108,train:108;train:258,0
evaluation_24,1,2,edf,False,train:316;train:108,train:316;train:108,0
evaluation_24,1,1,greedy,False,train:108;train:316;train:258,train:108;train:316;train:258,0
evaluation_24,1,1,edf,True,train:108;train:316;train:258,train:316;train:108;train:258,0
evaluation_24,2,2,greedy,True,train:316;train:108,train:108;train:258,0
evaluation_24,2,2,edf,False,train:316;train:108,train:316;train:108,0
