bundle,condition_id,policy,input_hash,study,load,setup,budget,reviewer,contexts,loss,correct,unresolved,reviews,corrections,harms,abstentions,proposal_failures,review_failures,missed_useful,active_time,setup_time,switch_time,decision_time,coordination_time,session_offers,context_changes,repeated_context_inspections,expired_unreviewed,waiting_time,planning_and_controller_seconds
0,core_low_0_12_model,fifo,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0001731949159875512
0,core_low_0_12_model,edf,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0001682779984548688
0,core_low_0_12_model,greedy,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00016570300795137882
0,core_low_0_12_model,density,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00016094802413135767
0,core_low_0_12_model,fixed_window,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015953800175338984
0,core_low_0_12_model,unguarded,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00016962108202278614
0,core_low_0_12_model,sticky_edf,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.000252898083999753
0,core_low_0_12_model,allocation,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00016042799688875675
0,core_low_0_12_model,guarded,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,12,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015705102123320103
0,core_low_0_12_model_risk,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00022733595687896013
0,core_low_0_12_model_risk,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,8,6,0,9.0,0.0005533950170502067
0,core_low_0_12_model_risk,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.00047570792958140373
0,core_low_0_12_model_risk,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0004890459822490811
0,core_low_0_12_model_risk,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.000513558043166995
0,core_low_0_12_model_risk,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,8,1,0,2,0,0,0,8.0,0.0,0.0,8.0,0.0,8,7,5,1,14.0,0.0006370460614562035
0,core_low_0_12_model_risk,unguarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0008902079425752163
0,core_low_0_12_model_risk,sticky_edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,6,4,0,9.0,0.0005842120153829455
0,core_low_0_12_model_risk,allocation,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005847300635650754
0,core_low_0_12_model_risk,guarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,12,model_risk,related,60,1,8,9,1,0,3,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.000884587992914021
0,core_low_0_24_ideal,no_review,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,72,0,9,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00022062798961997032
0,core_low_0_24_ideal,fifo,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,8,6,0,9.0,0.0005986789474263787
0,core_low_0_24_ideal,edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.000472898012958467
0,core_low_0_24_ideal,greedy,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.00047716405242681503
0,core_low_0_24_ideal,density,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005358780035749078
0,core_low_0_24_ideal,fixed_window,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,8,8,1,8,8,0,0,0,0,1,8.0,0.0,0.0,8.0,0.0,8,7,5,1,14.0,0.0006171379936859012
0,core_low_0_24_ideal,unguarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0008639430161565542
0,core_low_0_24_ideal,sticky_edf,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,6,4,0,9.0,0.0005284759681671858
0,core_low_0_24_ideal,allocation,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.0005698570748791099
0,core_low_0_24_ideal,guarded,426d7ecd507ec80988cd34bde2009199a1c6a05d01f1fcd1388a532e4a70c084,core,low,0,24,ideal,related,0,9,0,9,9,0,0,0,0,0,9.0,0.0,0.0,9.0,0.0,9,7,5,0,9.0,0.000871925032697618
0,core_low_0_24_model,no_review,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00018273398745805025
0,core_low_0_24_model,fifo,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015771901234984398
0,core_low_0_24_model,edf,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015479698777198792
0,core_low_0_24_model,greedy,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0001518850913271308
0,core_low_0_24_model,density,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015887909103184938
0,core_low_0_24_model,fixed_window,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015184201765805483
0,core_low_0_24_model,unguarded,9d132aa4a4a65274fd4b697b2dbbf301ca0a61ccf12172692d81c70fa9ff7c2a,core,low,0,24,model,related,72,0,9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.00015120301395654678
