baseline,budget,error_weight,metric,difference,lo,hi,negative,ties,positive,dialogues
generic2,2.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
generic2,2.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
generic2,2.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
generic2,2.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
no_scope,2.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
request_specific,2.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
ideal_depth2,2.0,2.0,loss,0.5520833333333334,0.40625,0.6979166666666666,0,22,26,48
ideal_depth2,2.0,2.0,project_correct,-0.5,-0.625,-0.3645833333333333,26,22,0,48
ideal_depth2,2.0,2.0,correct,-0.5,-0.625,-0.3645833333333333,26,22,0,48
ideal_depth2,2.0,2.0,incorrect,0.052083333333333336,0.010416666666666666,0.11458333333333333,0,44,4,48
ideal_depth2,2.0,2.0,unfinished,0.4479166666666667,0.3125,0.5833333333333334,0,25,23,48
ideal_depth2,2.0,2.0,questions,1.8645833333333333,1.7604166666666667,1.9583333333333333,0,0,48,48
one_step,4.0,2.0,loss,-0.6458333333333334,-0.8541666666666666,-0.4375,26,21,1,48
one_step,4.0,2.0,project_correct,0.46875,0.3333333333333333,0.59375,0,23,25,48
one_step,4.0,2.0,correct,0.6666666666666666,0.46875,0.8645833333333334,0,22,26,48
one_step,4.0,2.0,incorrect,0.020833333333333332,0.0,0.0625,0,47,1,48
one_step,4.0,2.0,unfinished,-0.6875,-0.8854166666666666,-0.5,27,21,0,48
one_step,4.0,2.0,questions,1.375,0.9895833333333334,1.78125,0,21,27,48
semantic_memory,4.0,2.0,loss,-0.08333333333333333,-0.22968749999999996,0.041666666666666664,4,42,2,48
semantic_memory,4.0,2.0,project_correct,0.010416666666666666,-0.07291666666666667,0.09375,2,42,4,48
semantic_memory,4.0,2.0,correct,0.020833333333333332,-0.0625,0.11458333333333333,2,42,4,48
semantic_memory,4.0,2.0,incorrect,-0.0625,-0.13541666666666666,-0.010416666666666666,4,44,0,48
semantic_memory,4.0,2.0,unfinished,0.041666666666666664,0.0,0.10416666666666667,0,46,2,48
semantic_memory,4.0,2.0,questions,1.25,0.9059895833333333,1.625,3,8,37,48
completion,4.0,2.0,loss,-0.15625,-0.28125,-0.041666666666666664,9,38,1,48
completion,4.0,2.0,project_correct,0.15625,0.041666666666666664,0.28125,1,38,9,48
completion,4.0,2.0,correct,0.15625,0.041666666666666664,0.28125,1,38,9,48
completion,4.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
completion,4.0,2.0,unfinished,-0.15625,-0.28125,-0.041666666666666664,9,38,1,48
completion,4.0,2.0,questions,-0.14583333333333334,-0.3125,0.0,3,45,0,48
full_history,4.0,2.0,loss,-0.1875,-0.3958333333333333,0.020833333333333332,8,37,3,48
full_history,4.0,2.0,project_correct,0.0625,-0.052083333333333336,0.17708333333333334,3,38,7,48
full_history,4.0,2.0,correct,0.0625,-0.052083333333333336,0.17708333333333334,3,38,7,48
full_history,4.0,2.0,incorrect,-0.125,-0.22916666666666666,-0.020833333333333332,8,39,1,48
full_history,4.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
full_history,4.0,2.0,questions,3.5104166666666665,3.3125,3.6979166666666665,0,0,48,48
depth3,4.0,2.0,loss,0.041666666666666664,0.0,0.10416666666666667,0,46,2,48
depth3,4.0,2.0,project_correct,-0.041666666666666664,-0.10416666666666667,0.0,2,46,0,48
depth3,4.0,2.0,correct,-0.041666666666666664,-0.10416666666666667,0.0,2,46,0,48
depth3,4.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
depth3,4.0,2.0,unfinished,0.041666666666666664,0.0,0.10416666666666667,0,46,2,48
depth3,4.0,2.0,questions,-0.10416666666666667,-0.2708333333333333,0.0,2,46,0,48
generic2,4.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
generic2,4.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
generic2,4.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
generic2,4.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
generic2,4.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
generic2,4.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
no_scope,4.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,loss,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,project_correct,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,correct,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,unfinished,0.0,0.0,0.0,0,48,0,48
request_specific,4.0,2.0,questions,0.0,0.0,0.0,0,48,0,48
ideal_depth2,4.0,2.0,loss,0.10416666666666667,0.020833333333333332,0.22916666666666666,0,44,4,48
ideal_depth2,4.0,2.0,project_correct,-0.08333333333333333,-0.16666666666666666,-0.020833333333333332,4,44,0,48
ideal_depth2,4.0,2.0,correct,-0.08333333333333333,-0.16666666666666666,-0.020833333333333332,4,44,0,48
ideal_depth2,4.0,2.0,incorrect,0.020833333333333332,0.0,0.0625,0,47,1,48
ideal_depth2,4.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
ideal_depth2,4.0,2.0,questions,3.5416666666666665,3.3333333333333335,3.7291666666666665,0,0,48,48
one_step,6.0,2.0,loss,-0.6875,-0.8854166666666666,-0.5,27,21,0,48
one_step,6.0,2.0,project_correct,0.4895833333333333,0.3645833333333333,0.6145833333333334,0,22,26,48
one_step,6.0,2.0,correct,0.6875,0.5,0.8854166666666666,0,21,27,48
one_step,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
one_step,6.0,2.0,unfinished,-0.6875,-0.8854166666666666,-0.5,27,21,0,48
one_step,6.0,2.0,questions,1.53125,1.1041666666666667,1.9791666666666667,0,21,27,48
semantic_memory,6.0,2.0,loss,-0.10416666666666667,-0.2708333333333333,0.041666666666666664,5,40,3,48
semantic_memory,6.0,2.0,project_correct,0.010416666666666666,-0.08333333333333333,0.10416666666666667,3,40,5,48
semantic_memory,6.0,2.0,correct,0.020833333333333332,-0.08333333333333333,0.125,3,40,5,48
semantic_memory,6.0,2.0,incorrect,-0.08333333333333333,-0.16666666666666666,-0.020833333333333332,5,43,0,48
semantic_memory,6.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
semantic_memory,6.0,2.0,questions,1.4791666666666667,1.07265625,1.9166666666666667,3,7,38,48
completion,6.0,2.0,loss,0.0625,0.0,0.125,0,45,3,48
completion,6.0,2.0,project_correct,-0.0625,-0.125,0.0,3,45,0,48
completion,6.0,2.0,correct,-0.0625,-0.125,0.0,3,45,0,48
completion,6.0,2.0,incorrect,0.0,0.0,0.0,0,48,0,48
completion,6.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
completion,6.0,2.0,questions,-0.1875,-0.375,0.0,3,45,0,48
full_history,6.0,2.0,loss,-0.22916666666666666,-0.4375,-0.041666666666666664,8,38,2,48
full_history,6.0,2.0,project_correct,0.08333333333333333,-0.020833333333333332,0.19791666666666666,2,39,7,48
full_history,6.0,2.0,correct,0.08333333333333333,-0.020833333333333332,0.19791666666666666,2,39,7,48
full_history,6.0,2.0,incorrect,-0.14583333333333334,-0.25,-0.0625,8,40,0,48
full_history,6.0,2.0,unfinished,0.0625,0.0,0.125,0,45,3,48
full_history,6.0,2.0,questions,3.7604166666666665,3.4895833333333335,4.041666666666667,0,0,48,48
depth3,6.0,2.0,loss,0.0625,0.0,0.125,0,45,3,48
