policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,execution_index,folder,review_ticks,estimator_hash
edf,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.230468,12,12,2570,84,0,1.6752395145595074,81,306/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.226081,12,12,2570,84,0,1.6769963018596172,82,306/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,306,fe4c4cae465b39ade5a5f6d76d3404a8230d1eebf19c86deec30fd7b267d6176,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.197452,12,12,2570,84,0,1.6730589028447866,83,306/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.206672,12,12,2570,84,0,1.6856961082667112,84,307/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,8,8,48,5,6,4,4,3,0,2,8,12,,2.999162,12,12,2570,84,0,1.6753013897687197,85,307/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,12,12,48,5,6,4,4,3,0,2,8,12,,2.245643,12,12,2570,84,0,1.6678699404001236,86,307/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,8,8,48,4,6,4,4,2,0,2,8,12,,2.239311,12,12,2570,84,0,1.6788727510720491,87,307/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,4,4,48,5,6,4,4,3,0,2,8,12,,2.197359,12,12,2570,84,0,1.6651197522878647,88,307/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,4,4,48,5,6,4,4,3,0,2,8,12,,2.184342,12,12,2570,84,0,1.6677292454987764,89,307/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.271597,12,12,2624,84,0,1.6758262198418379,90,307/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.242759,12,12,2624,84,0,1.6763444300740957,91,307/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.246219,12,12,2624,84,0,1.6788547839969397,92,307/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.217069,12,12,2624,84,0,1.6814863923937082,93,307/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.182973,12,12,2624,84,0,1.6569104976952076,94,307/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,307,f2d4a7aee02bccaffddbaa6b954de277cfde5b2e10cdad74f58af3ab4e6ec173,live_gpu,completed,,12,0,0,48,6,6,6,6,4,0,0,6,12,,2.512626,12,12,2624,84,0,1.6537472903728485,95,307/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.7438,12,12,2624,84,0,1.6857902966439724,96,308/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.215783,12,12,2624,84,0,1.675486708059907,97,308/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,4,12,,2.248587,12,12,2570,84,0,1.6823682058602571,98,308/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,4,12,,2.253041,12,12,2570,84,0,1.6815584860742092,99,308/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.305587,12,12,2624,84,0,1.675659453496337,100,308/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.274895,12,12,2624,84,0,1.682242676615715,101,308/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.230376,12,12,2570,84,0,1.6752586290240288,102,308/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.398284,12,12,2570,84,0,1.6672064065933228,103,308/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.224787,12,12,2570,84,0,1.6866015940904617,104,308/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.303384,12,12,2570,84,0,1.6633299123495817,105,308/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,8,8,48,5,6,4,4,1,0,2,8,12,,2.236876,12,12,2570,84,0,1.6765946056693792,106,308/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,308,120ec2a19c189482031d9900da52560f6bee67d6225807e06828dff27a4008b1,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.280633,12,12,2570,84,0,1.6666072253137827,107,308/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.237965,12,12,2570,84,0,1.6642646323889494,108,309/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.217511,12,12,2570,84,0,1.6664287354797125,109,309/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.25971,12,12,2570,84,0,1.6779465712606907,110,309/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.357413,12,12,2570,84,0,1.6863278094679117,111,309/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.835116,12,12,2570,84,0,1.6653086803853512,112,309/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.497626,12,12,2570,84,0,1.662041537463665,113,309/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,5,5,0,0,1,5,12,,2.667523,12,12,2570,84,0,1.6621457319706678,114,309/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,5,5,0,0,1,5,12,,2.311646,12,12,2624,84,0,1.6740057859569788,115,309/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,5,5,0,0,1,5,12,,2.291299,12,12,2624,84,0,1.6696785539388657,116,309/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.348541,12,12,2624,84,0,1.6595854237675667,117,309/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.405158,12,12,2624,84,0,1.669123636558652,118,309/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,309,0d7d5ad3af2f381873bf076a5d698b70db0787fa77cbc6bf590a6cc8200c09e4,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,4,12,,2.37225,12,12,2570,84,0,1.6723679415881634,119,309/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.36721,12,12,2624,84,0,1.6803771555423737,120,310/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.335425,12,12,2624,84,0,1.682676088064909,121,310/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.217612,12,12,2624,84,0,1.6709302011877298,122,310/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.231216,12,12,2624,84,0,1.6775506976991892,123,310/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,5,5,1,0,1,5,12,,2.217031,12,12,2570,84,0,1.6735875848680735,124,310/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,5,5,1,0,1,5,12,,2.233173,12,12,2570,84,0,1.6603871490806341,125,310/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.180659,12,12,2570,84,0,1.6656835656613111,126,310/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.188579,12,12,2570,84,0,1.6694968026131392,127,310/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,4,4,48,5,6,4,4,1,0,2,8,12,,2.178348,12,12,2570,84,0,1.6605746895074844,128,310/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.736671,12,12,2570,84,0,1.6589669343084097,129,310/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.60007,12,12,2570,84,0,1.6655221916735172,130,310/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,310,70ae19bd71970d5272638b7d41e9225597db6c7ce0ddac1be48c92ff3ef51fc0,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.161147,12,12,2570,84,0,1.6525240633636713,131,310/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,12,12,48,5,6,4,4,1,0,2,8,12,,2.19106,12,12,2570,84,0,1.6723039653152227,132,311/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.196528,12,12,2570,84,0,1.6727794278413057,133,311/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,12,12,48,5,6,4,4,1,0,2,8,12,,2.223763,12,12,2570,84,0,1.676089620217681,134,311/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,12,12,48,5,6,4,4,1,0,2,8,12,,2.189751,12,12,2570,84,0,1.6790530197322369,135,311/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.216449,12,12,2570,84,0,1.685154752805829,136,311/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.230829,12,12,2570,84,0,1.6681379489600658,137,311/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.308215,12,12,2624,84,0,1.6856870967894793,138,311/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,12,12,48,5,6,5,5,1,0,1,5,12,,2.256822,12,12,2624,84,0,1.687513504177332,139,311/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,12,12,48,5,6,5,5,1,0,1,5,12,,2.283471,12,12,2624,84,0,1.687456626445055,140,311/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.70118,12,12,2624,84,0,1.6832460183650255,141,311/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.967487,12,12,2624,84,0,1.6614523436874151,142,311/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,311,73663fb800dcf115d4aedade6c19f758eca17abe25ab1e4817ec1c60fad00480,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.214885,12,12,2624,84,0,1.6662182956933975,143,311/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,5,5,2,0,1,5,12,,3.059365,12,12,2570,84,0,1.6715421844273806,144,312/s1/fcfs,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,5,5,2,0,1,5,12,,2.261067,12,12,2570,84,0,1.6709186043590307,145,312/s1/uncertainty,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,5,5,2,0,1,5,12,,3.348752,12,12,2570,84,0,1.6669638212770224,146,312/s1/myopic,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,5,5,2,0,1,5,12,,2.296164,12,12,2570,84,0,1.6709094047546387,147,312/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.262469,12,12,2624,84,0,1.6697942353785038,148,312/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,6,6,2,0,0,6,12,,2.264683,12,12,2624,84,0,1.6736677940934896,149,312/s1/delay,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,3.040134,12,12,2570,84,0,1.6842848043888807,150,312/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.234076,12,12,2570,84,0,1.66538605093956,151,312/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.240524,12,12,2570,84,0,1.668336946517229,152,312/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,12,12,48,5,6,4,4,1,0,2,8,12,,2.292526,12,12,2570,84,0,1.66250160895288,153,312/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.269685,12,12,2570,84,0,1.6557181626558304,154,312/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,312,ee9f7181e748d524101bee4701ec1cceb80100c6131d2d6c32a77834f534b9fd,live_gpu,completed,,12,0,0,48,6,6,4,4,2,0,2,8,12,,2.259314,12,12,2570,84,0,1.6576483901590109,155,312/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
myopic,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.330625,12,12,2570,88,0,1.7492420244961977,156,313/s2/myopic,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,3.005583,12,12,2570,88,0,1.741792755201459,157,313/s2/greedy,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.375718,12,12,2570,88,0,1.7467971369624138,158,313/s2/edf,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
delay,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.32326,12,12,2570,88,0,1.7484186608344316,159,313/s2/delay,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
fcfs,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.329243,12,12,2570,88,0,1.7305315509438515,160,313/s2/fcfs,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
uncertainty,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,4,4,1,0,2,8,12,,2.341273,12,12,2570,88,0,1.743503486737609,161,313/s2/uncertainty,2,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
greedy,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.343644,12,12,2624,88,0,1.7525266464799643,162,313/s1/greedy,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
edf,313,b6c7ef72f38b9db15bd5ac30b02747297faedff13f37b01ec322b9df03a846aa,live_gpu,completed,,12,0,0,48,6,6,6,6,1,0,0,6,12,,2.343649,12,12,2624,88,0,1.753198655322194,163,313/s1/edf,1,54d9a97e25f5cb22cf0df216293303ea5c945713032c6bc1282c55fcf327e085
