reviewer,weights,capacity,duration,policy,n_runs,mean_loss,ci_low,ci_high,correct_rate,correct_low,correct_high,correct,corrections,harmful_reviews,unresolved,completed_reviews,review_time,waiting_time,missed_useful
model_risk,uniform,2,3,greedy,18,17.333333333333332,13.333333333333334,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,36,108,0,0
model_risk,uniform,2,3,search,18,17.333333333333332,13.333333333333334,20.88888888888889,0.2777777777777778,0.12962962962962962,0.4444444444444444,15,1,5,39,36,108,0,0
ideal,heterogeneous,1,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,35
ideal,heterogeneous,1,1,fcfs,18,1.5555555555555556,0.0,3.3333333333333335,0.9444444444444444,0.8888888888888888,1.0,51,32,0,3,49,49,44,3
ideal,heterogeneous,1,1,edf,18,0.0,0.0,0.0,1.0,1.0,1.0,54,35,0,0,54,54,54,0
ideal,heterogeneous,1,1,uncertainty,18,1.5555555555555556,0.0,3.3333333333333335,0.9444444444444444,0.8888888888888888,1.0,51,32,0,3,50,50,46,3
ideal,heterogeneous,1,1,greedy,18,0.4444444444444444,0.0,1.1111111111111112,0.9629629629629629,0.9074074074074073,1.0,52,33,0,2,48,48,42,2
ideal,heterogeneous,1,1,search,18,0.0,0.0,0.0,1.0,1.0,1.0,54,35,0,0,54,54,54,0
ideal,heterogeneous,1,2,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,35
ideal,heterogeneous,1,2,fcfs,18,4.666666666666667,2.4444444444444446,7.333333333333333,0.8333333333333333,0.7592592592592591,0.9074074074074073,45,26,0,9,39,78,48,9
ideal,heterogeneous,1,2,edf,18,0.0,0.0,0.0,1.0,1.0,1.0,54,35,0,0,54,108,108,0
ideal,heterogeneous,1,2,uncertainty,18,5.555555555555555,3.3277777777777784,8.0,0.7962962962962963,0.7222222222222221,0.8703703703703703,43,24,0,11,38,76,44,11
ideal,heterogeneous,1,2,greedy,18,3.3333333333333335,1.7777777777777777,4.888888888888889,0.8148148148148148,0.7407407407407407,0.8888888888888888,44,25,0,10,39,78,48,10
ideal,heterogeneous,1,2,search,18,0.0,0.0,0.0,1.0,1.0,1.0,54,35,0,0,54,108,108,0
ideal,heterogeneous,1,3,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,35
ideal,heterogeneous,1,3,fcfs,18,8.0,4.666666666666667,11.333333333333334,0.6851851851851851,0.574074074074074,0.8148148148148147,37,18,0,17,25,75,21,17
ideal,heterogeneous,1,3,edf,18,5.333333333333333,3.111111111111111,7.555555555555555,0.7962962962962963,0.7222222222222221,0.8703703703703703,43,24,0,11,36,108,54,11
ideal,heterogeneous,1,3,uncertainty,18,8.0,4.666666666666667,11.333333333333334,0.6851851851851851,0.574074074074074,0.8148148148148147,37,18,0,17,25,75,21,17
ideal,heterogeneous,1,3,greedy,18,6.666666666666667,4.0,9.11111111111111,0.7037037037037036,0.5925925925925924,0.8148148148148148,38,19,0,16,31,93,39,16
ideal,heterogeneous,1,3,search,18,5.333333333333333,3.111111111111111,7.555555555555555,0.7962962962962963,0.7222222222222221,0.8703703703703703,43,24,0,11,36,108,54,11
ideal,heterogeneous,2,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,35
