policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
greedy,6,6,7,2.048271042960031e-05,2.0271167159080505e-05,2.544429153203964e-05,2.546049654483795e-05,0.0,0
myopic,0,0,1364,5.7121331849930225e-06,5.320645868778229e-06,9.226426482200622e-06,3.170967102050781e-05,0.0,0
myopic,1,0,260,9.445960705096905e-06,9.299255907535553e-06,1.3870839029550551e-05,2.45608389377594e-05,0.0,0
myopic,1,1,319,1.5117870322589216e-05,1.4649704098701477e-05,2.0668096840381616e-05,4.523061215877533e-05,0.0,0
myopic,2,0,35,1.0756988610540118e-05,1.1349096894264221e-05,1.3946183025836945e-05,1.644901931285858e-05,0.0,0
myopic,2,1,93,1.6505159037087555e-05,1.519918441772461e-05,2.158209681510924e-05,4.0689483284950256e-05,0.0,0
myopic,2,2,261,1.7307755819225676e-05,1.676008105278015e-05,2.378039062023163e-05,7.317960262298584e-05,0.0,0
myopic,3,0,7,1.094889427934374e-05,1.039169728755951e-05,1.3542547821998595e-05,1.3809651136398315e-05,0.0,0
myopic,3,1,32,1.6866018995642662e-05,1.5579164028167725e-05,2.2990070283412935e-05,3.433041274547577e-05,0.0,0
myopic,3,2,25,2.0938515663146974e-05,2.0699575543403625e-05,2.4300813674926757e-05,6.33392482995987e-05,0.0,0
myopic,3,3,269,1.890719850931912e-05,1.7467886209487915e-05,2.508386969566345e-05,4.438869655132294e-05,0.0,0
uncertainty,0,0,1367,5.592468747189207e-06,5.228444933891296e-06,9.004026651382446e-06,3.370828926563263e-05,0.0,0
uncertainty,1,0,253,8.987785563638559e-06,8.469447493553162e-06,1.3683736324310302e-05,2.2660940885543823e-05,0.0,0
uncertainty,1,1,323,1.4441249309678565e-05,1.376122236251831e-05,2.03445553779602e-05,6.740912795066833e-05,0.0,0
uncertainty,2,0,34,1.1500080718713648e-05,1.1575408279895782e-05,1.5925243496894835e-05,2.7799978852272034e-05,0.0,0
uncertainty,2,1,90,1.794877979490492e-05,1.7348676919937134e-05,2.1809898316860196e-05,0.0001471005380153656,0.0,0
uncertainty,2,2,262,1.5905112710617882e-05,1.528114080429077e-05,2.2647343575954435e-05,3.137998282909393e-05,0.0,0
uncertainty,3,0,7,1.0740011930465698e-05,9.698793292045593e-06,1.3222917914390564e-05,1.3452023267745972e-05,0.0,0
uncertainty,3,1,32,1.585757127031684e-05,1.4326535165309906e-05,2.031968906521797e-05,2.165883779525757e-05,0.0,0
uncertainty,3,2,25,2.494417130947113e-05,1.991167664527893e-05,3.1920149922370904e-05,0.0001519862562417984,0.0,0
uncertainty,3,3,269,1.8505885033802473e-05,1.7192214727401733e-05,2.610571682453155e-05,4.330091178417206e-05,0.0,0
