kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
duration,core,original,3,2,frozen,original|a3|s2|frozen|fcfs|lambda0,original|a3|s1|frozen|fcfs|lambda0,False,64,64,4.5625,3.25,5.937890624999998,1,23,40,57,0.46875,0.3125,0.640625,0.7604166666666669,0.5416666666666666,0.9896484374999998,0,1,4.5625,3.25,5.937890624999998,6.4375,4.593359375,8.422265624999998,8.3125,5.90625,10.96875
duration,core,original,3,2,frozen,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,False,64,64,3.75,2.640234375,4.96875,1,25,38,55,0.359375,0.234375,0.5,0.6250000000000001,0.44003906249999997,0.828125,0,0,3.75,2.640234375,4.96875,5.1875,3.655859375,6.937890624999998,6.625,4.593359375,8.906640624999998
duration,core,original,3,2,frozen,original|a3|s2|frozen|myopic|lambda0,original|a3|s1|frozen|myopic|lambda0,False,64,64,4.03125,2.9375,5.219140624999998,0,25,39,55,0.390625,0.265625,0.53125,0.6718750000000001,0.4895833333333333,0.869856770833333,0,0,4.03125,2.9375,5.219140624999998,5.59375,4.078125,7.266015624999998,7.15625,5.171875,9.392187499999991
duration,core,original,3,2,frozen,original|a3|s2|frozen|uncertainty|lambda0,original|a3|s1|frozen|uncertainty|lambda0,False,64,64,4.25,3.03125,5.578515624999998,1,23,40,57,0.46875,0.328125,0.625,0.7083333333333336,0.5052083333333334,0.9297526041666663,0,0,4.25,3.03125,5.578515624999998,6.125,4.40625,7.969140624999998,8.0,5.78125,10.437890624999998
duration,core,original,3,2,pooled,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,False,32,32,4.4375,2.65625,6.34375,0,14,18,29,0.4375,0.25,0.65625,0.7395833333333334,0.4427083333333333,1.0572916666666665,0,0,4.4375,2.65625,6.34375,6.1875,3.71875,8.813281249999996,7.9375,4.75,11.3125
duration,core,original,3,2,pooled,original|a3|s2|pooled|greedy|lambda0,original|a3|s1|pooled|greedy|lambda0,False,32,32,3.75,2.21875,5.469531249999996,0,13,19,29,0.34375,0.1875,0.53125,0.625,0.3697916666666667,0.911588541666666,0,0,3.75,2.21875,5.469531249999996,5.125,3.0,7.53125,6.5,3.81171875,9.625781249999996
objective,objective,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda4|objective,competition|a3|s1|frozen|delay|lambda0|objective,False,16,16,0.0,0.0,0.0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda8|objective,competition|a3|s1|frozen|delay|lambda0|objective,False,16,16,0.0,0.0,0.0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda4|objective,competition|a3|s2|frozen|delay|lambda0|objective,False,16,16,0.0,0.0,0.0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda8|objective,competition|a3|s2|frozen|delay|lambda0|objective,False,16,16,0.0,0.0,0.0,0,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
